Season,Name,Team,O-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),EV,LA,wRC+,NameASCII,PlayerId,MLBAMID
2021,Kevin Newman,PIT,0.24282561,0.44444444,0.72272727,0.9418239,85.27979343220339,9.919816357,51.605031600792884,Kevin Newman,17696,621028
2023,Nick Fortes,MIA,0.26443203,0.44995571,0.70422535,0.90437158,88.19364195478724,13.942136594082447,50.92929456815938,Nick Fortes,21538,663743
2023,Jean Segura,MIA,0.37248841,0.50401284,0.69709544,0.89405685,88.03031692813765,2.876190793466758,50.20113378730742,Jean Segura,5933,516416
2024,Michael A. Taylor,PIT,0.29824561,0.48585691,0.34705882,0.74154589,89.30619454089506,13.713957609953704,49.88596019130445,Michael A. Taylor,11489,572191
2023,Kolten Wong,- - -,0.25366876,0.47256098,0.52892562,0.89534884,85.62764630998883,13.964346204485212,49.56475452584127,Kolten Wong,12532,543939
2022,Andrew Velazquez,LAA,0.31553398,0.52424242,0.44102564,0.76861167,88.00709769652062,8.209074983891753,49.47023213030359,Andrew Velazquez,14196,623205
2022,Yadier Molina,STL,0.4030837,0.5841785,0.71584699,0.84478372,84.66588424887892,16.903407896580717,49.12979509408132,Yadier Molina,7007,425877
2021,Joe Panik,- - -,0.17887931,0.43632774,0.74698795,0.90250696,86.46152730507426,9.722046804900216,48.59815622087788,Joe Panik,11936,605412
2021,Cody Bellinger,LAD,0.31347518,0.51328671,0.60633484,0.77387914,89.29629434121621,22.170726879222972,47.15043509904614,Cody Bellinger,15998,641355
2021,Joshua Fuentes,COL,0.38877756,0.59332024,0.57216495,0.84146341,85.15393833,18.26531009397645,45.978484078280765,Joshua Fuentes,16885,658069
2021,Pat Valaika,BAL,0.31568998,0.52406903,0.56287425,0.83170732,86.82829919763513,19.76548247466216,45.54106739759259,Pat Valaika,14885,642162
2023,Harold Castro,COL,0.4375,0.56136821,0.52678571,0.87125749,86.20658597797927,9.96037838,45.429049563816044,Harold Castro,14691,605612
2023,Joey Wendle,MIA,0.34974533,0.4720339,0.60194175,0.87179487,89.15688413149351,3.8413931446158007,45.02842369342871,Joey Wendle,13853,621563
2023,Brenton Doyle,COL,0.31713555,0.5204274,0.37096774,0.78965517,88.26002002363445,11.651773404674369,44.85420964801586,Brenton Doyle,25479,686668
2024,Eddie Rosario,- - -,0.36019737,0.52064027,0.5890411,0.8245614,90.95331111617152,14.346799020809977,44.62406501870642,Eddie Rosario,12155,592696
2023,Eric Haase,- - -,0.37265918,0.54025045,0.49748744,0.79506173,87.08512076,13.42849715714602,43.28624894667764,Eric Haase,14111,606992
2022,Austin Hedges,CLE,0.278125,0.46703297,0.52808989,0.83932854,84.18294570852535,16.704822733654954,42.74847090979536,Austin Hedges,12976,595978
2024,Javier Báez,DET,0.42631579,0.52352941,0.56790123,0.8419244,88.34326410060976,11.181133288871951,42.72651672436896,Javier Baez,12979,595879
2021,Austin Hedges,CLE,0.33732877,0.53248945,0.50253807,0.80875576,85.70774872448979,18.88943792849171,41.96757265316901,Austin Hedges,12976,595978
2022,Leury García,CHW,0.39162113,0.5625,0.58604651,0.85450346,87.00853866185898,6.235270182291667,38.37075884,Leury Garcia,5913,544725
